Source_Name	KNeighborsClassifier	LinearSVM	GaussianProcessClassifier	DecisionTreeClassifier	RandomForestClassifier	NeuralNet	AdaBoost	NaiveBayes	QDA	90upmodel	top3model
FL8Y J0414.6+5711 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0414.8-4259 	PSR	PSR	PSR	PSR	AGN	PSR	PSR	PSR	PSR	AGN	PSR
FL8Y J0416.1-6628 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0418.6+3413 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0418.9+6636 	PSR	AGN	PSR	PSR	PSR	AGN	PSR	AGN	PSR	PSR	PSR
FL8Y J0423.0-0943 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0426.1+5100 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0426.3+3516 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	AGN	AGN
FL8Y J0426.6+5434 	AGN	PSR	PSR	PSR	PSR	PSR	PSR	PSR	PSR	AGN	PSR
FL8Y J0427.8+3631 	AGN	AGN	AGN	AGN	AGN	AGN	PSR	PSR	AGN	AGN	AGN
FL8Y J0427.8-6704 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0430.6+3533 	PSR	PSR	PSR	PSR	AGN	PSR	PSR	PSR	PSR	AGN	PSR
FL8Y J0431.1+4433 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0431.3+3500 	PSR	PSR	AGN	AGN	AGN	PSR	AGN	PSR	PSR	AGN	AGN
FL8Y J0432.1+6702 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0433.0+1330 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0434.7+8527 	AGN	AGN	AGN	PSR	AGN	AGN	AGN	PSR	AGN	AGN	AGN
FL8Y J0434.8-1417 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0435.5+3233 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0436.1-0039 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0436.1+0440 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0437.0+2915 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0437.4-6156 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0438.0-7329 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0438.7-3441 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0438.7-8322 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0441.9-5432 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0442.2+1140 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0442.8+3608 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
