Source_Name	KNeighborsClassifier	LinearSVM	RBFSVM	GaussianProcessClassifier	DecisionTreeClassifier	RandomForestClassifier	NeuralNet	AdaBoost	NaiveBayes	QDA	90upmodel	top3model
FL8Y J1447.5-5757 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1458.8-2120 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1514.8-6308 	MSP	MSP	MSP	MSP	MSP	YNG	YNG	MSP	YNG	YNG	YNG	MSP
FL8Y J1517.9-5233 	MSP	MSP	MSP	MSP	MSP	MSP	YNG	MSP	MSP	MSP	YNG	MSP
FL8Y J1526.6-2744 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	YNG	YNG	MSP
FL8Y J1527.8+1013 	MSP	MSP	MSP	MSP	YNG	MSP	MSP	MSP	MSP	MSP	YNG	MSP
FL8Y J1534.7-5842 	YNG	MSP	MSP	YNG	MSP	MSP	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1539.3-3324 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1541.8-5159 	MSP	MSP	MSP	MSP	MSP	MSP	YNG	YNG	MSP	YNG	YNG	MSP
FL8Y J1544.2-2554 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1545.5-5416 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1548.6-5345 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1555.5-5550 	YNG	YNG	MSP	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1602.2+2306 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1603.3-6010 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	YNG	YNG	MSP
FL8Y J1604.5-4929 	MSP	YNG	MSP	YNG	MSP	MSP	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1608.3-4759 	YNG	MSP	MSP	YNG	YNG	YNG	YNG	MSP	YNG	YNG	YNG	YNG
